new entry "Shout_ArcaneEmpower"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "Skill_Wizard_ArcaneRecovery"
data "DisplayName" "8c09e3af-e75e-4322-ab38-ca9bab7b969d;1"
data "Description" "f74f6552-fdd2-41c3-9205-8866c6d22edd;1"
data "DescriptionParams" "10;DealDamage(1d6,Necrotic)"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CastSound" "Action_Cast_ArcaneRecovery"
data "TargetSound" "Action_Impact_ArcaneRecovery"
data "UseCosts" "BonusActionPoint:1;SorceryPoint:2"
data "SpellAnimation" "82e37f9e-bcec-46b6-9ef5-70c7451beb2e,,;,,;b7379bf3-0990-4657-a9d0-3f91b04a01a3,,;855ba6b1-bb41-49fd-8c26-6e9cbe3e5c21,,;b8a782a1-911c-4fe0-87fd-cdcc8dd87e73,,;,,;885d682c-18e6-4436-8ad1-9c59cd160192,,;,,;,,"
data "SpellStyleGroup" "Class"
data "PrepareEffect" "271665f4-5c3c-4bb4-933d-8a7daf8268b5"
data "CastEffect" "b88e4a1e-4eef-470c-8d12-6db53c48a1e8"
data "SpellProperties" "ApplyStatus(ARCANE_EMPOWER,100,10);DealDamage(1d6,Necrotic)"
data "SpellFlags" "IsSpell;HasVerbalComponent"
data "Level" "0"
data "MemoryCost" "0"
